"sequence_number","delta","gyro_x","gyro_y","gyro_z","accel_x","accel_y","accel_z","control_x","control_speed"
"170","0.142388","-0.00115967","-0.000610352","-0.000183105","0.0493164","0.0480347","-1.03888","-0.558594","1"
"171","0.083787","-0.00012207","-0.000549316","0.00823975","0.0670776","0.0603638","-1.01031","-0.710938","1"
"172","0.112946","-6.10352e-05","-0.000549316","0.0187378","0.0769043","-0.0627441","-0.974854","-0.714844","1"
"173","0.089773","0.000244141","-0.0022583","0.0268555","0.0504761","-0.0368652","-0.961182","-0.714844","1"
"174","0.090007","0.00128174","-0.000305176","0.0339355","0.0483398","-0.0788574","-0.917236","-0.775391","1"
"175","0.075022","0","-0.00213623","0.0461426","0.0408325","-0.132568","-0.911255","-0.898438","1"
"176","0.103804","0.000793457","-0.000793457","0.052002","0.0366821","-0.148071","-0.910645","-0.912109","1"
"177","0.076431","0.000976562","-0.000854492","0.0535889","0.0180664","-0.137634","-0.988098","-0.916016","1"
"178","0.082238","0.00219727","-0.00128174","0.0537109","0.0248413","-0.184448","-0.97699","-0.917969","1"
"179","0.089714","0.00219727","0.000366211","0.0556641","0.0303345","-0.118469","-0.980591","-0.929688","1"
"180","0.105319","0.00213623","-0.000244141","0.0545044","0.0222778","-0.10376","-0.899048","-0.998047","1"
"181","0.07496","0.00219727","-0.00012207","0.0494995","0.0127563","-0.0658569","-0.968933","-0.998047","1"
"182","0.096282","0.00195312","0.000427246","0.0487671","0.019104","0.00567627","-0.917786","-0.998047","1"
"183","0.078744","0.0020752","0.0010376","0.0494995","0.00958252","0.0460205","-0.957153","-0.998047","1"
"184","0.071478","0.000549316","-0.000183105","0.0492554","0.00360107","0.0187378","-0.989868","-0.998047","1"
"185","0.069788","-0.000915527","-0.00115967","0.0517578","0.00799561","0.0657349","-1.06482","-0.998047","1"
"186","0.103756","-0.0020752","-0.00170898","0.0562744","0.0120239","0.0565186","-1.02124","-0.998047","1"
"187","0.103734","-0.00231934","-0.00170898","0.0578613","0.0186768","0.0154419","-1.05511","-0.998047","1"
"188","0.098568","-0.00274658","-0.00231934","0.0576782","0.0402222","0.0355225","-1.07819","-0.998047","1"
"189","0.076196","-0.000854492","-0.000732422","0.0585938","0.0605469","0.0197754","-1.03864","-0.998047","1"
"190","0.073954","6.10352e-05","0.00372314","0.0622559","0.0479126","-0.0322876","-1.03967","-0.998047","1"
"191","0.082531","0.000793457","0.00268555","0.0657959","0.0220947","-0.0365601","-1.07825","-0.998047","1"
"192","0.081318","-0.0012207","0.000549316","0.0698853","0.0335083","-0.0231934","-1.04327","-0.998047","1"
"193","0.122492","-0.00134277","-0.000610352","0.0765381","0.0255127","-0.0617065","-1.00793","-0.998047","1"
"194","0.095966","-0.00177002","-0.00189209","0.0813599","0.0147705","-0.0321045","-1.02783","-0.998047","1"
"195","0.080222","-0.00256348","-0.00561523","0.0840454","0.0163574","-0.00628662","-1.01544","-0.998047","1"
"196","0.077318","-0.00219727","-0.00506592","0.0860596","0.0254517","-0.0315552","-0.989258","-0.998047","1"
"197","0.07516","-0.0010376","-0.0032959","0.0856323","0.0107422","-0.0477905","-1.02802","-0.998047","1"
"198","0.083749","-0.00109863","-0.00317383","0.0809937","0.0388184","-0.00445557","-1.02673","-0.841797","1"
"199","0.083757","-0.00286865","-0.00390625","0.0756226","0.0258789","-0.00567627","-1.00769","0","1"
"200","0.079982","-0.00238037","-0.0020752","0.0525513","-0.0397949","0.000366211","-0.94165","0","1"
"201","0.126545","-0.00390625","-0.00219727","0.0363159","-0.0578003","0.0596313","-0.956177","0","1"
"202","0.106227","-0.00128174","-0.0020752","0.0180664","-0.0889282","0.0410156","-1.00214","0","1"
"203","0.080821","-0.00231934","0","0.00427246","-0.150452","-0.0976562","-0.979492","-0.0957031","1"
"204","0.076445","-0.000732422","0.000610352","-0.00537109","-0.174622","-0.102661","-0.962341","-0.996094","1"
"205","0.082738","-0.000244141","0.000366211","0.0158691","-0.0198364","-0.0886841","-1.05981","-0.996094","1"
"206","0.105009","0.00128174","-0.000854492","0.0292358","0.0360107","-0.0965576","-1.0564","-0.996094","1"
"207","0.089753","-0.000488281","-0.000854492","0.045166","0.0910645","-0.0509033","-1.00653","-0.996094","1"
"208","0.097482","6.10352e-05","-0.0032959","0.0569458","0.101196","0.0126343","-1.04028","-0.996094","1"
"209","0.076289","-0.000793457","-0.00189209","0.0653076","0.12915","0.0614624","-1.01337","-0.996094","1"
"210","0.103727","-0.000244141","-0.00305176","0.0586548","0.0518799","0.0234985","-1.02014","-0.996094","1"
"211","0.112754","-0.00158691","-0.0020752","0.052124","0.000183105","0.0174561","-0.988098","-0.996094","1"
"212","0.082256","-0.00158691","-0.0022583","0.0494385","-0.043335","-0.0350952","-0.976929","-0.996094","1"
"213","0.074753","-0.000610352","-0.00146484","0.0493774","-0.0183716","-0.00897217","-0.964783","-0.996094","1"
"214","0.120288","-0.000366211","-0.00128174","0.0491943","-0.00744629","-0.0964966","-1.04395","-0.996094","1"
"215","0.082494","-0.0010376","-0.00140381","0.050415","-0.00891113","-0.0263062","-1.02429","-0.996094","1"
"216","0.082443","0.00140381","0.000366211","0.0547485","-0.00012207","-0.0818481","-1.08038","-0.996094","1"
"217","0.095998","0.00256348","0","0.055481","0.0101318","-0.0498657","-1.06976","-0.996094","1"
"218","0.075067","0.0020752","-0.00152588","0.0576782","0.00250244","-0.0675049","-1.03357","-0.996094","1"
"219","0.098933","0.00195312","-0.00219727","0.0606079","-0.0022583","-0.0578003","-1.0351","-0.996094","1"
"220","0.076069","0.00152588","-0.00164795","0.0612183","-0.0192261","-0.111084","-0.985962","-0.857422","1"
"221","0.102728","-0.000549316","-0.00335693","0.0594482","0.0115356","-0.0942383","-0.969421","-0.269531","1"
"222","0.106195","-0.000488281","-0.00274658","0.0532227","-0.00292969","-0.0839844","-0.961182","0","1"
"223","0.090097","-0.000549316","-0.00195312","0.0414429","-0.0234985","-0.00244141","-1.00909","0","1"
"224","0.074945","-0.0012207","0.000427246","0.0305786","-0.00250244","0.00976562","-1.03424","-0.513672","1"
"225","0.075047","-0.00280762","-0.00128174","0.0239258","-0.0270996","-0.000305176","-1.06567","-0.617188","1"
"226","0.083609","-0.00378418","0.000366211","0.0217285","-0.0523682","0.000732422","-1.02686","-0.699219","1"
"227","0.096386","-0.00463867","-0.000610352","0.0272827","0.000732422","-0.0217285","-1.00732","-0.75","1"
"228","0.082685","-0.00427246","0.00280762","0.0388184","0.00970459","-0.107422","-1.01367","-0.773438","1"
"229","0.074761","-0.00292969","0.00164795","0.0502319","-0.0307007","-0.118347","-0.939453","-0.779297","1"
"230","0.088753","-0.00115967","0.00292969","0.0588379","0.0105591","-0.0657349","-0.938416","-0.779297","1"
"231","0.070026","0.00201416","0.00219727","0.0631714","0.0158081","-0.00341797","-0.981079","-0.78125","1"
"232","0.096065","0.00195312","0.00244141","0.0653076","-0.0547485","-0.0372314","-1.02246","-0.875","1"
"233","0.074991","0.000610352","-0.000366211","0.0661011","-0.0491333","-0.0152588","-0.974304","-0.996094","1"
"234","0.075166","-0.000915527","-0.000915527","0.0686035","-0.0435791","0.0114136","-0.992493","-0.996094","1"
"235","0.097505","0.000854492","-0.0012207","0.0686646","-0.0315552","-0.0562744","-1.01996","-0.996094","1"
"236","0.082502","-0.00140381","-0.00213623","0.0703125","-0.0254517","-0.104187","-1.01758","-0.996094","1"
"237","0.100237","-0.000610352","-0.00274658","0.0700684","0.0184326","-0.0692749","-1.00116","-0.996094","1"
"238","0.079761","0.0010376","-0.00250244","0.0696411","0.0241699","-0.0252075","-1.01855","-0.996094","1"
"239","0.082522","0.000976562","-0.00463867","0.0678711","0.0484009","-0.0615845","-1.05536","-0.996094","1"
"240","0.082289","6.10352e-05","-0.00299072","0.0654297","0.0272217","-0.0344238","-1.02307","-0.996094","1"
"241","0.105426","0.0022583","-0.00183105","0.0632935","0.0275269","-0.0310669","-1.03265","-0.996094","1"
"242","0.080862","0.00115967","-0.0020752","0.0623169","0.0123901","-0.0913086","-1.02527","-0.996094","1"
"243","0.083895","0.000183105","-0.0022583","0.0606079","0.0158081","-0.0797119","-1.03027","-0.996094","1"
"244","0.075221","0.00183105","-0.000183105","0.0570068","-0.0101318","-0.0413818","-1.01532","-0.996094","1"
"245","0.12102","0.0010376","-0.0010376","0.0565796","-0.00817871","-0.0125732","-1.03552","-0.996094","1"
"246","0.082515","0.000366211","-0.0022583","0.0544434","-0.00335693","-0.00769043","-0.996826","-0.996094","1"
"247","0.088781","0.00146484","-0.000976562","0.0530396","0.00695801","0.041748","-1.00439","-0.996094","1"
"248","0.081026","0.0020752","-0.000305176","0.0530396","0.0130005","0.00482178","-1.0105","-0.996094","1"
"249","0.075509","0.00134277","-0.000793457","0.0527954","0.0281372","0.0218506","-1.01459","-0.996094","1"
"250","0.082272","0.0012207","-0.000915527","0.0512085","0.0211182","0.0391235","-0.999817","-0.996094","1"
"251","0.083911","6.10352e-05","0.000183105","0.052124","0.00109863","0.0560913","-1.02917","-0.996094","1"
"252","0.074787","-0.000610352","0.00177002","0.0524902","0.00952148","0.0922852","-1.05292","-0.996094","1"
"253","0.083456","0.000854492","0.00250244","0.0505981","0.00927734","0.0901489","-1.05121","-0.833984","1"
"254","0.102908","0.000854492","0.00292969","0.0491333","-0.00946045","0.107666","-1.05676","-0.175781","1"
